,GameId,HomeTeamAbbr,VisitorTeamAbbr,Week,Stadium,Location,StadiumType,Turf,GameWeather,Temperature,Humidity,PlayId,YardLine,Quarter,GameClock,PossessionTeam,Down,Distance,FieldPosition
0,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000118,35,1,14:14:00,NE,3,2,NE
1,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000139,43,1,13:52:00,NE,1,10,NE
2,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000189,35,1,13:02:00,NE,1,10,KC
3,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000345,2,1,12:12:00,NE,2,2,KC
4,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000395,25,1,12:08:00,KC,1,10,KC
5,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000473,29,1,11:21:00,NE,3,7,KC
6,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000516,19,1,10:34:00,NE,2,10,KC
7,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000653,10,1,09:34:00,NE,4,1,KC
8,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000680,10,1,09:25:00,KC,1,10,KC
9,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000801,50,1,06:34:00,KC,1,10,
10,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907000917,9,1,03:47:00,KC,2,9,NE
11,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001004,25,1,03:03:00,NE,1,10,NE
12,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001077,30,1,01:36:00,NE,1,10,KC
13,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001156,12,1,00:37:00,NE,2,5,KC
14,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001177,8,1,00:23:00,NE,3,1,KC
15,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001296,45,2,14:44:00,KC,2,10,KC
16,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001355,18,2,13:17:00,NE,1,10,NE
17,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001376,22,2,12:49:00,NE,2,6,NE
18,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001443,48,2,11:23:00,NE,2,10,NE
19,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001488,36,2,09:57:00,NE,1,10,KC
20,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001509,20,2,09:17:00,NE,1,10,KC
21,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001530,11,2,08:38:00,NE,2,1,KC
22,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001551,7,2,08:15:00,NE,1,7,KC
23,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001605,2,2,07:31:00,NE,1,2,KC
24,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001664,23,2,07:22:00,KC,1,10,KC
25,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001715,36,2,06:11:00,KC,1,10,KC
26,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001736,37,2,05:29:00,KC,2,9,KC
27,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001819,40,2,03:44:00,NE,1,10,NE
28,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907001955,4,2,02:29:00,KC,1,14,KC
29,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907002430,25,3,15:00:00,KC,1,10,KC
30,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907002648,28,3,10:53:00,NE,1,10,NE
31,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907002669,30,3,10:23:00,NE,2,8,NE
32,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907002829,25,3,09:13:00,NE,2,10,NE
33,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907002900,46,3,07:55:00,NE,2,10,NE
34,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907002961,14,3,07:08:00,KC,1,10,KC
35,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003138,1,3,05:35:00,NE,1,1,KC
36,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003161,1,3,05:03:00,NE,2,1,KC
37,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003261,11,3,04:21:00,KC,2,12,KC
38,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003444,18,3,02:31:00,NE,1,10,KC
39,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003465,11,3,02:00:00,NE,2,3,KC
40,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003507,4,3,00:57:00,NE,2,4,KC
41,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003635,5,3,00:04:00,KC,1,15,KC
42,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907003874,40,4,12:29:00,NE,4,1,KC
43,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004025,13,4,10:28:00,NE,1,10,NE
44,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004046,15,4,10:00:00,NE,2,8,NE
45,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004182,49,4,08:20:00,KC,2,1,KC
46,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004314,4,4,05:19:00,KC,1,4,NE
47,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004465,21,4,04:15:00,KC,1,10,KC
48,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004486,21,4,04:05:00,KC,1,10,NE
49,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004622,42,4,02:44:00,KC,1,10,NE
50,2017090700,NE,KC,1,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,Clear and warm,63.0,77.0,20170907004660,40,4,02:37:00,KC,2,8,NE
